Date,Location,Humidity (%),Temperature (°C),Soil Moisture (%),Rainfall (mm),pH Level,Light Intensity (lux),Disease Status
26-10-2024,Maharashtra,98.8,28.1,44.3,29.5,5.6,7079.9,Tomato Leaf Mold
27-10-2024,Maharashtra,98.1,29.7,43.3,38.9,6.9,4339.2,Bacterial Wilt
28-10-2024,Himachal Pradesh,64.5,27.5,48.2,82.2,5.5,5492.1,Bacterial Wilt
29-10-2024,Maharashtra,86.8,16.2,77.7,114.7,5.8,7129.6,Pepper Bell Spot
30-10-2024,Kerala,58.5,22.3,78.4,80.3,6.7,3983,Pepper Bell Spot
31-10-2024,Punjab,65.2,24.5,65.9,62.9,7.2,3324.3,Late Blight
01-11-2024,Karnataka,89.6,19.1,71.8,84.2,6,4363.5,Bacterial Wilt
02-11-2024,Kerala,69.6,23,68.6,134.8,6.9,3074.8,Healthy
03-11-2024,Himachal Pradesh,87.8,24.7,40.1,83.2,6,9152.4,Tomato Leaf Mold
04-11-2024,Punjab,85.3,21.1,59.6,103.1,6.7,8236.8,Healthy
05-11-2024,Kerala,92.1,33.9,55.1,38.2,6.2,5311.6,Tomato Leaf Mold
06-11-2024,Kerala,55.2,19.3,68.4,105.6,7.2,9457.5,Tomato Leaf Mold
07-11-2024,Karnataka,79.9,31.4,73.2,117.3,6.4,6969.7,Late Blight
08-11-2024,Kerala,89.2,16.7,52.1,4.9,5.6,7584.4,Healthy
09-11-2024,Himachal Pradesh,90.7,18.1,61.9,54.2,6.2,5659,Tomato Leaf Mold
10-11-2024,Karnataka,79.8,21.9,66.1,108.6,7.2,8112.5,Tomato Leaf Mold
11-11-2024,Karnataka,77.3,16.7,50.5,55.9,5.7,9756.1,Late Blight
12-11-2024,Maharashtra,65.9,24,56.1,43.5,6.6,9891.9,Healthy
13-11-2024,Maharashtra,94.5,31.8,40.1,137.4,7.2,4291.9,Healthy
14-11-2024,Himachal Pradesh,64.7,29.2,59.1,19.9,6.6,9548.3,Healthy
15-11-2024,Punjab,69.6,32.5,60.3,4.4,6.4,5195.1,Tomato Leaf Mold
16-11-2024,Karnataka,73.6,16.6,47.6,27.6,6.8,6729.3,Pepper Bell Spot
17-11-2024,Karnataka,71.8,21.8,74.2,107.2,6.4,9715.2,Pepper Bell Spot
18-11-2024,Punjab,92.8,22.9,76,71.9,6.6,3818.3,Late Blight
19-11-2024,Kerala,89.3,28.3,68.8,79,7.1,8999,Late Blight
20-11-2024,Kerala,83.3,26.7,75.2,54.2,7.3,9262.2,Late Blight
21-11-2024,Kerala,92.2,16.1,75.3,3.8,5.6,7566.8,Tomato Leaf Mold
22-11-2024,Karnataka,67.2,30.6,51.8,6.5,7,4705.3,Bacterial Wilt
23-11-2024,Punjab,58.7,27.5,53.4,69.3,6.9,4479.4,Tomato Leaf Mold
24-11-2024,Karnataka,51.7,28.5,71,124.9,7.2,9315.5,Healthy
25-11-2024,Maharashtra,68.4,30.1,75.2,146.7,6.3,4634.9,Healthy
26-11-2024,Punjab,50.8,29.6,52.6,84.4,5.8,5640.5,Bacterial Wilt
27-11-2024,Himachal Pradesh,88.6,31.6,64,105.4,6.6,3365,Bacterial Wilt
28-11-2024,Punjab,51.6,16.6,51.4,0.6,7,6049.6,Tomato Leaf Mold
29-11-2024,Himachal Pradesh,59.8,19.5,59.5,10.3,6.1,9278.9,Pepper Bell Spot
30-11-2024,Punjab,81.6,21,43.9,43.1,7.4,8772.1,Healthy
01-12-2024,Karnataka,88,15.9,66.1,105.1,6.9,6764.7,Tomato Leaf Mold
02-12-2024,Punjab,91.6,16.9,42.4,19.9,7,9405.1,Healthy
03-12-2024,Maharashtra,87.7,22.8,50.3,143.7,5.6,8529.4,Healthy
04-12-2024,Kerala,68,26.6,41.5,96.6,7,4817,Pepper Bell Spot
05-12-2024,Kerala,63.1,25.6,46.9,56.1,5.7,7694,Healthy
06-12-2024,Punjab,97.7,26.1,65.4,122.1,6.1,9652.4,Healthy
07-12-2024,Punjab,94.2,30.9,56.4,117.8,6.2,3879,Pepper Bell Spot
08-12-2024,Himachal Pradesh,99.5,19.4,54.3,85.6,5.6,8189.2,Late Blight
09-12-2024,Kerala,76.2,35,73.3,30.5,7.5,6988.1,Tomato Leaf Mold
10-12-2024,Punjab,94.7,19.9,53.9,94.1,6.2,6835.9,Pepper Bell Spot
11-12-2024,Maharashtra,89.3,28.6,79.9,88.5,7.4,9128.2,Healthy
12-12-2024,Himachal Pradesh,79.2,30.7,63.3,29.7,6.6,9632.2,Late Blight
13-12-2024,Karnataka,99.1,17.3,74.2,45.4,6.9,8482.3,Healthy
14-12-2024,Kerala,80.2,17,60.4,4.5,5.9,5471.7,Healthy
15-12-2024,Maharashtra,87,28.6,60,113.1,6,6948.6,Bacterial Wilt
16-12-2024,Punjab,67,34.3,66.7,42.5,7.2,8622.7,Pepper Bell Spot
17-12-2024,Punjab,91.3,22.8,40.5,27,7.1,4913.1,Late Blight
18-12-2024,Maharashtra,78.8,19.4,57,21.6,6.6,7164.8,Tomato Leaf Mold
19-12-2024,Himachal Pradesh,96.7,24,47.3,83.7,7.3,8554.1,Tomato Leaf Mold
20-12-2024,Maharashtra,57.5,34.4,64,144.8,6.7,6467.5,Bacterial Wilt
21-12-2024,Punjab,89.4,19,46.7,86.1,7.2,6426.3,Pepper Bell Spot
22-12-2024,Karnataka,88.7,15.5,40.4,96.6,7,5875.5,Tomato Leaf Mold
23-12-2024,Maharashtra,87.3,29.1,71.4,6.3,7.3,3113.9,Tomato Leaf Mold
24-12-2024,Maharashtra,76.2,20.8,48.6,119.1,7.4,7394.7,Pepper Bell Spot
25-12-2024,Karnataka,50.6,28.2,52.2,146.3,6.2,3439.3,Healthy
26-12-2024,Karnataka,81.9,22,69.4,27,5.5,7474.9,Late Blight
27-12-2024,Himachal Pradesh,86.7,16.7,73,107,7.1,8471.2,Tomato Leaf Mold
28-12-2024,Karnataka,84.7,27.1,48.5,128.9,7.3,7648.6,Healthy
29-12-2024,Maharashtra,82.6,25,78,136.7,6.5,4889.8,Tomato Leaf Mold
30-12-2024,Punjab,91.2,34.7,78.7,115.8,7.3,8676,Pepper Bell Spot
31-12-2024,Himachal Pradesh,92.1,30,46.1,34.8,6.5,9683.5,Late Blight
01-01-2025,Punjab,85.3,16.9,65.2,7.9,6.7,5854.1,Pepper Bell Spot
02-01-2025,Himachal Pradesh,55.4,31.6,41.4,57.8,6.5,4063.8,Bacterial Wilt
03-01-2025,Kerala,92.3,26.2,67.1,138.9,6.8,9070.8,Bacterial Wilt
04-01-2025,Kerala,89.8,23.1,71.4,149.7,5.6,5013.2,Pepper Bell Spot
05-01-2025,Kerala,78.5,31.1,43.5,99.9,7.4,5854.4,Pepper Bell Spot
06-01-2025,Kerala,63.9,33.5,46.1,98.5,5.6,5331.8,Tomato Leaf Mold
07-01-2025,Karnataka,51.1,22,50.8,1.9,6.7,6825.1,Healthy
08-01-2025,Karnataka,92.9,20.5,60.4,3.2,6.5,7137.4,Tomato Leaf Mold
09-01-2025,Punjab,51.3,24.4,50.7,62.4,5.8,5540.6,Tomato Leaf Mold
10-01-2025,Maharashtra,59.9,16.2,60.8,126.2,6.4,6730.6,Pepper Bell Spot
11-01-2025,Karnataka,64.8,27.9,58.5,27.4,6.6,8578.3,Tomato Leaf Mold
12-01-2025,Maharashtra,56.8,27,64.6,144.5,6.8,7716.8,Bacterial Wilt
13-01-2025,Himachal Pradesh,91.7,17.6,56.9,24.5,5.6,7896.3,Healthy
14-01-2025,Kerala,92.4,28.7,59.9,68.4,5.5,3678.6,Healthy
15-01-2025,Karnataka,72.6,19.3,52.7,142.7,6.4,5094.8,Bacterial Wilt
16-01-2025,Punjab,62,24.3,74.1,74.9,6.2,8087.9,Healthy
17-01-2025,Punjab,93.5,26.1,58.3,133,7.3,5826.1,Bacterial Wilt
18-01-2025,Himachal Pradesh,52.9,22.4,71.4,34.1,5.9,7207.3,Pepper Bell Spot
19-01-2025,Himachal Pradesh,90.9,32.3,50.9,101.2,7.4,5414.5,Healthy
20-01-2025,Kerala,62.8,21.9,63.7,48.1,5.9,8928.6,Tomato Leaf Mold
21-01-2025,Kerala,77.1,29.2,63.1,140.4,6.9,6601,Pepper Bell Spot
22-01-2025,Punjab,60.8,22.7,53.9,127.2,6.8,6193,Late Blight
23-01-2025,Punjab,61.3,25.7,66.4,94.2,5.8,6035.4,Healthy
24-01-2025,Himachal Pradesh,66.4,17,69.5,130,6.6,4765.6,Pepper Bell Spot
25-01-2025,Himachal Pradesh,60,19.1,51.6,131,7.1,4104.7,Bacterial Wilt
26-01-2025,Karnataka,62,31.9,63.1,118.2,6,4539.7,Pepper Bell Spot
27-01-2025,Himachal Pradesh,52.4,17.4,79.2,19.4,7.2,9944.8,Tomato Leaf Mold
28-01-2025,Punjab,76.8,34.9,51.5,82.4,6,5011.6,Pepper Bell Spot
29-01-2025,Punjab,91.7,29,64.3,36.2,6.7,6729.8,Late Blight
30-01-2025,Himachal Pradesh,83.2,21.9,42,76.3,7.5,4656.7,Pepper Bell Spot
31-01-2025,Karnataka,68.5,31.3,41.9,121.7,7.4,8498.6,Pepper Bell Spot
01-02-2025,Himachal Pradesh,77,23,73,18.4,7.4,8371.6,Bacterial Wilt
02-02-2025,Punjab,62.2,25.9,54.3,51.5,5.9,5855.3,Late Blight
03-02-2025,Kerala,90.8,26,64.2,96.7,5.9,6908.6,Late Blight
04-02-2025,Maharashtra,78.1,18.4,63.2,113.1,6.8,7930.5,Healthy
05-02-2025,Himachal Pradesh,85.7,20.6,53.8,90.5,6.5,8689.2,Late Blight
06-02-2025,Maharashtra,54.7,25.4,68.3,131.3,6.9,3436.7,Tomato Leaf Mold
07-02-2025,Punjab,68.9,15.9,78.3,57.1,6.6,8743.1,Late Blight
08-02-2025,Karnataka,72.4,30.3,74.7,57.2,6.2,5418.9,Tomato Leaf Mold
09-02-2025,Kerala,91.6,19.6,65.9,40.4,6.2,4695.6,Late Blight
10-02-2025,Karnataka,93.8,29.6,73.1,77.6,5.6,4914.8,Late Blight
11-02-2025,Karnataka,57.2,32.5,42.1,20.7,6.2,4824.1,Bacterial Wilt
12-02-2025,Kerala,72.3,27,50.8,44.9,7.3,8790.2,Healthy
13-02-2025,Himachal Pradesh,86,30.8,49.6,122.8,7.4,9144.2,Tomato Leaf Mold
14-02-2025,Karnataka,62,18.1,50,64.2,6.1,7139.9,Pepper Bell Spot
15-02-2025,Maharashtra,70.4,24.8,53.2,23.8,6,8453,Tomato Leaf Mold
16-02-2025,Himachal Pradesh,97.1,22.2,51.2,114.4,6.4,6733.2,Bacterial Wilt
17-02-2025,Himachal Pradesh,90.6,34,51.7,59.2,6.7,6454.4,Tomato Leaf Mold
18-02-2025,Maharashtra,94.7,19,71.6,12.2,6.6,5271.4,Pepper Bell Spot
19-02-2025,Kerala,72.3,33.4,52.1,124.2,7.3,5807.5,Late Blight
20-02-2025,Himachal Pradesh,84.6,33.8,70.7,114.5,5.7,3653.7,Tomato Leaf Mold
21-02-2025,Punjab,74.5,33.4,77.4,75.4,6.1,9204.5,Healthy
22-02-2025,Punjab,53.1,33.3,47.3,19.9,6,3966.3,Bacterial Wilt
23-02-2025,Punjab,82.8,24.4,51.6,93.9,7,7925.6,Tomato Leaf Mold
24-02-2025,Karnataka,95.3,33.5,60.3,57.1,7.2,5713.8,Pepper Bell Spot
25-02-2025,Himachal Pradesh,50.7,29.3,46.8,9.5,7.3,3085.3,Late Blight
26-02-2025,Maharashtra,60.2,23.4,73.7,94.9,5.5,5416.6,Pepper Bell Spot
27-02-2025,Kerala,60.4,15.8,75.3,138.1,7.1,3031.1,Pepper Bell Spot
28-02-2025,Karnataka,95.7,23.9,78.9,63.4,6.7,4133.5,Healthy
01-03-2025,Himachal Pradesh,98.7,15.8,56.9,80.4,7,3200.4,Healthy
02-03-2025,Kerala,69.1,24.4,72.1,74,6.3,7610.4,Healthy
03-03-2025,Punjab,79.6,34.5,51.2,79.4,6.7,7687.2,Late Blight
04-03-2025,Kerala,80.2,28.3,64.9,21.6,5.8,5994.6,Healthy
05-03-2025,Maharashtra,50.6,21,49.7,5.8,7.1,4280.3,Bacterial Wilt
06-03-2025,Karnataka,68.8,21.2,79.3,41.2,7.3,7445.7,Late Blight
07-03-2025,Himachal Pradesh,66.7,30.6,63.6,75.6,6.6,5053.7,Tomato Leaf Mold
08-03-2025,Kerala,59.2,29.2,56.7,5,6.3,8178.9,Pepper Bell Spot
09-03-2025,Kerala,90.7,24.9,75.6,81.6,6,7932.9,Pepper Bell Spot
10-03-2025,Karnataka,93.2,20.3,63.6,94.3,5.8,8891.4,Bacterial Wilt
11-03-2025,Punjab,95.8,27.6,40.7,42.4,5.8,4984,Late Blight
12-03-2025,Himachal Pradesh,55.3,20.3,48.9,26.6,7.4,9194,Pepper Bell Spot
13-03-2025,Kerala,81.8,15.9,52.6,33.6,5.7,6270.4,Healthy
14-03-2025,Maharashtra,55.4,26.2,56.4,1,6.6,6200.2,Late Blight
15-03-2025,Karnataka,65,31.9,60.4,63.9,7,7760.8,Late Blight
16-03-2025,Karnataka,75.5,33.7,54.5,130.6,6.5,7170.2,Pepper Bell Spot
17-03-2025,Himachal Pradesh,98.9,31,67.3,109.4,6.2,8568.8,Healthy
18-03-2025,Punjab,94.1,15.5,45.1,14,7.1,7943.3,Pepper Bell Spot
19-03-2025,Punjab,78.7,33.4,54.3,78.2,6.1,6466.7,Pepper Bell Spot
20-03-2025,Kerala,81.3,28.1,78.8,115.9,6.4,5946.6,Pepper Bell Spot
21-03-2025,Punjab,91.3,25.1,44,134,5.7,3493,Bacterial Wilt
22-03-2025,Himachal Pradesh,77.8,26.1,42.2,113.6,6.7,7725,Tomato Leaf Mold
23-03-2025,Himachal Pradesh,74.8,28.1,52.5,72.5,6.9,3480.9,Bacterial Wilt
24-03-2025,Kerala,58.7,30.9,63.2,74.1,5.7,3126.3,Healthy
25-03-2025,Kerala,92.3,30.5,58.6,0.2,5.8,4799.1,Late Blight
26-03-2025,Maharashtra,55.2,33.8,41.4,145.6,6.1,7539.4,Healthy
27-03-2025,Kerala,56.6,15,66,109.6,6.7,5629.6,Healthy
28-03-2025,Punjab,64.7,19,51.7,64.9,6.2,9551,Healthy
29-03-2025,Kerala,82.5,31.8,50.4,28.3,6.1,7727.7,Late Blight
30-03-2025,Karnataka,71.7,16.3,72.7,41.1,5.5,4338.2,Late Blight
31-03-2025,Himachal Pradesh,60.1,25.9,49.6,58.7,6.6,3454.4,Tomato Leaf Mold
01-04-2025,Punjab,62.7,31.7,69.8,111.2,6.6,7343,Late Blight
02-04-2025,Punjab,86.9,26.1,57.9,51.6,6.5,8268.4,Tomato Leaf Mold
03-04-2025,Punjab,86.1,26.3,44.9,120.8,5.8,5729.3,Healthy
04-04-2025,Karnataka,61.7,20,57.4,103.9,6.6,6544,Bacterial Wilt
05-04-2025,Maharashtra,53.6,34.7,76.7,122,6.7,3589.6,Pepper Bell Spot
06-04-2025,Kerala,58.6,22,61,128.6,7,8247,Pepper Bell Spot
07-04-2025,Kerala,96.6,33.8,76.5,107.6,5.9,5899.4,Healthy
08-04-2025,Punjab,63.4,23.9,47.1,35.2,6.4,6650.2,Healthy
09-04-2025,Kerala,71.9,29.3,74.5,136.7,5.8,3515.4,Pepper Bell Spot
10-04-2025,Kerala,61.2,24.9,46.4,28.4,6.5,8046.9,Pepper Bell Spot
11-04-2025,Kerala,72.5,21.8,73.8,40.6,5.9,7613.4,Late Blight
12-04-2025,Punjab,59.5,27.3,47.1,4.5,6,6652.5,Tomato Leaf Mold
13-04-2025,Punjab,71.4,20.8,54.6,46.5,7,3864.3,Late Blight
14-04-2025,Karnataka,74,17.4,71.4,134.7,6.3,9644.9,Pepper Bell Spot
15-04-2025,Punjab,99,34.7,46.8,138.8,6.1,7314.2,Tomato Leaf Mold
16-04-2025,Punjab,69.1,34.2,68.7,32.8,6.2,5923.9,Healthy
17-04-2025,Punjab,92,27.1,68.6,59.6,7.1,5323.8,Late Blight
18-04-2025,Punjab,65.5,33.4,77.2,122.1,5.8,5145.5,Late Blight
19-04-2025,Himachal Pradesh,64.6,23.8,68.8,116.5,6.3,8635.6,Pepper Bell Spot
20-04-2025,Himachal Pradesh,74.8,18.7,72.7,58.5,6.8,3769.4,Late Blight
21-04-2025,Maharashtra,83.1,24.7,72.6,117,7.2,3098.8,Healthy
22-04-2025,Karnataka,56.6,24.3,46.5,50.6,5.6,9826.5,Healthy
23-04-2025,Kerala,91.1,24.9,78.5,14,5.5,9684.8,Late Blight
24-04-2025,Kerala,51.1,30.5,48.4,117.7,6.8,8501.6,Bacterial Wilt
25-04-2025,Punjab,85.4,22.4,60.3,41.5,5.5,9935.2,Tomato Leaf Mold
26-04-2025,Maharashtra,86.2,33.7,65,0.9,5.8,6722.6,Healthy
27-04-2025,Karnataka,66,24.7,60.7,103.6,5.7,3524.9,Bacterial Wilt
28-04-2025,Punjab,91.4,21.6,48.1,52,6.9,7544.5,Bacterial Wilt
29-04-2025,Punjab,76.6,33.7,41.5,144,6.9,3808.9,Tomato Leaf Mold
30-04-2025,Karnataka,63.6,29,42.4,61.5,7,4676.6,Bacterial Wilt
01-05-2025,Karnataka,87,34.5,59.6,122.3,5.6,9926.5,Pepper Bell Spot
02-05-2025,Kerala,53.2,16.3,40.4,90.9,7.3,7978.1,Late Blight
03-05-2025,Himachal Pradesh,97.2,26.6,56.8,63.5,6.7,7841.1,Healthy
04-05-2025,Himachal Pradesh,55.3,34,43.5,52.4,6.9,7880.1,Tomato Leaf Mold
05-05-2025,Karnataka,55.9,24.2,52.2,141.1,6.7,3863.2,Healthy
06-05-2025,Himachal Pradesh,50.9,19,70.3,117.3,6.3,9336,Pepper Bell Spot
07-05-2025,Himachal Pradesh,83.3,18.7,56.6,37,6.2,3993.5,Healthy
08-05-2025,Kerala,79.4,18.2,72.4,146.2,5.6,7662.9,Pepper Bell Spot
09-05-2025,Punjab,89.1,32,76.8,120,6.1,4317.6,Late Blight
10-05-2025,Kerala,65.9,34.4,43.4,129.7,6.4,7033.6,Tomato Leaf Mold
11-05-2025,Himachal Pradesh,84.9,25.9,72.7,147.3,5.5,7520.8,Tomato Leaf Mold
12-05-2025,Himachal Pradesh,76.7,16.8,55.4,38.3,6.8,5138.2,Pepper Bell Spot
13-05-2025,Himachal Pradesh,71.3,34.6,62.9,52.2,7.4,6981.2,Pepper Bell Spot
14-05-2025,Karnataka,60.8,21.1,40.3,122.2,5.5,7463.3,Tomato Leaf Mold
